# ---
# 24/02/2026, 14:53:33
# volt	current
# ---
-1.20e+02	-1.647133e-06
-1.19e+02	-1.564711e-06
-1.18e+02	-1.570017e-06
-1.17e+02	-1.573618e-06
-1.16e+02	-1.575192e-06
-1.15e+02	-1.576086e-06
-1.14e+02	-1.577039e-06
-1.13e+02	-1.577242e-06
-1.12e+02	-1.577207e-06
-1.11e+02	-1.577360e-06
-1.10e+02	-1.578079e-06
-1.09e+02	-1.578034e-06
-1.08e+02	-1.578266e-06
-1.07e+02	-1.577789e-06
-1.06e+02	-1.576507e-06
-1.05e+02	-1.575669e-06
-1.04e+02	-1.575595e-06
-1.03e+02	-1.575205e-06
-1.02e+02	-1.574511e-06
-1.01e+02	-1.573647e-06
-1.00e+02	-1.572660e-06
-9.90e+01	-1.571348e-06
-9.80e+01	-1.570689e-06
-9.70e+01	-1.570628e-06
-9.60e+01	-1.569774e-06
-9.50e+01	-1.568284e-06
-9.40e+01	-1.567001e-06
-9.30e+01	-1.566642e-06
-9.20e+01	-1.565989e-06
-9.10e+01	-1.564794e-06
-9.00e+01	-1.563017e-06
-8.90e+01	-1.562478e-06
-8.80e+01	-1.560603e-06
-8.70e+01	-1.559772e-06
-8.60e+01	-1.559194e-06
-8.50e+01	-1.558600e-06
-8.40e+01	-1.556914e-06
-8.30e+01	-1.555247e-06
-8.20e+01	-1.554442e-06
-8.10e+01	-1.554121e-06
-8.00e+01	-1.552427e-06
-7.90e+01	-1.551218e-06
-7.80e+01	-1.550436e-06
-7.70e+01	-1.548933e-06
-7.60e+01	-1.546192e-06
-7.50e+01	-1.545860e-06
-7.40e+01	-1.544613e-06
-7.30e+01	-1.542998e-06
-7.20e+01	-1.541499e-06
-7.10e+01	-1.540005e-06
-7.00e+01	-1.537721e-06
-6.90e+01	-1.537592e-06
-6.80e+01	-1.535639e-06
-6.70e+01	-1.534926e-06
-6.60e+01	-1.533134e-06
-6.50e+01	-1.530986e-06
-6.40e+01	-1.527702e-06
-6.30e+01	-1.525859e-06
-6.20e+01	-1.523933e-06
-6.10e+01	-1.521743e-06
-6.00e+01	-1.518753e-06
-5.90e+01	-1.516249e-06
-5.80e+01	-1.512152e-06
-5.70e+01	-1.505374e-06
-5.60e+01	-1.504060e-06
-5.50e+01	-1.501793e-06
-5.40e+01	-1.498263e-06
-5.30e+01	-1.494699e-06
-5.20e+01	-1.492223e-06
-5.10e+01	-1.488414e-06
-5.00e+01	-1.483811e-06
-4.90e+01	-1.482244e-06
-4.80e+01	-1.479274e-06
-4.70e+01	-1.476469e-06
-4.60e+01	-1.473331e-06
-4.50e+01	-1.471443e-06
-4.40e+01	-1.469915e-06
-4.30e+01	-1.466824e-06
-4.20e+01	-1.465104e-06
-4.10e+01	-1.463563e-06
-4.00e+01	-1.460411e-06
-3.90e+01	-1.459029e-06
-3.80e+01	-1.457945e-06
-3.70e+01	-1.455354e-06
-3.60e+01	-1.452896e-06
-3.50e+01	-1.450974e-06
-3.40e+01	-1.449574e-06
-3.30e+01	-1.448014e-06
-3.20e+01	-1.445524e-06
-3.10e+01	-1.444335e-06
-3.00e+01	-1.443135e-06
-2.90e+01	-1.440169e-06
-2.80e+01	-1.437995e-06
-2.70e+01	-1.436931e-06
-2.60e+01	-1.433965e-06
-2.50e+01	-1.431589e-06
-2.40e+01	-1.429125e-06
-2.30e+01	-1.430316e-06
-2.20e+01	-1.428677e-06
-2.10e+01	-1.425828e-06
-2.00e+01	-1.424107e-06
-1.90e+01	-1.423982e-06
-1.80e+01	-1.421149e-06
-1.70e+01	-1.418726e-06
-1.60e+01	-1.416789e-06
-1.50e+01	-1.414745e-06
-1.40e+01	-1.412098e-06
-1.30e+01	-1.409636e-06
-1.20e+01	-1.407362e-06
-1.10e+01	-1.403814e-06
-1.00e+01	-1.399133e-06
-9.00e+00	-1.394758e-06
-8.00e+00	-1.390261e-06
-7.00e+00	-1.385153e-06
-5.99e+00	-1.376767e-06
-4.99e+00	-1.370748e-06
-4.00e+00	-1.361779e-06
-3.00e+00	-1.350950e-06
-2.00e+00	-1.341889e-06
-9.94e-01	-1.333117e-06
5.41e-03	-1.319731e-06
1.00e+00	-1.299828e-06
2.00e+00	-1.276272e-06
3.00e+00	-1.238009e-06
4.00e+00	-1.131978e-06
5.00e+00	-8.302314e-07
6.00e+00	-4.302425e-07
7.00e+00	-1.668825e-07
8.00e+00	-1.216531e-07
9.00e+00	-9.802291e-08
1.00e+01	-8.001130e-08
1.10e+01	-6.359597e-08
1.20e+01	-4.840726e-08
1.30e+01	-3.506853e-08
1.40e+01	-2.361286e-08
1.50e+01	-1.378884e-08
1.60e+01	-5.295752e-09
1.70e+01	2.092151e-09
1.80e+01	8.498508e-09
1.90e+01	1.400855e-08
2.00e+01	1.886350e-08
2.10e+01	2.306298e-08
2.20e+01	2.662318e-08
2.30e+01	2.974410e-08
2.40e+01	3.225662e-08
2.50e+01	3.420139e-08
2.60e+01	3.587302e-08
2.70e+01	3.730824e-08
2.80e+01	3.857146e-08
2.90e+01	3.979028e-08
3.00e+01	4.083251e-08
3.10e+01	4.176692e-08
3.20e+01	4.280765e-08
3.30e+01	4.380913e-08
3.40e+01	4.488074e-08
3.50e+01	4.591536e-08
3.60e+01	4.698042e-08
3.70e+01	4.831744e-08
3.80e+01	4.985009e-08
3.90e+01	5.189220e-08
4.00e+01	5.430611e-08
