# ---
# 25/02/2026, 11:17:46
# volt	current
# ---
-1.20e+02	-5.112497e-07
-1.19e+02	-4.464990e-07
-1.18e+02	-4.464009e-07
-1.17e+02	-4.466312e-07
-1.16e+02	-4.469345e-07
-1.15e+02	-4.464661e-07
-1.14e+02	-4.465203e-07
-1.13e+02	-4.467389e-07
-1.12e+02	-4.464349e-07
-1.11e+02	-4.457823e-07
-1.10e+02	-4.458315e-07
-1.09e+02	-4.460523e-07
-1.08e+02	-4.452806e-07
-1.07e+02	-4.448354e-07
-1.06e+02	-4.451343e-07
-1.05e+02	-4.447089e-07
-1.04e+02	-4.438924e-07
-1.03e+02	-4.442547e-07
-1.02e+02	-4.436231e-07
-1.01e+02	-4.428934e-07
-1.00e+02	-4.424444e-07
-9.90e+01	-4.420626e-07
-9.80e+01	-4.417142e-07
-9.70e+01	-4.413443e-07
-9.60e+01	-4.407543e-07
-9.50e+01	-4.403483e-07
-9.40e+01	-4.398813e-07
-9.30e+01	-4.393431e-07
-9.20e+01	-4.393613e-07
-9.10e+01	-4.387076e-07
-9.00e+01	-4.383733e-07
-8.90e+01	-4.381323e-07
-8.80e+01	-4.374752e-07
-8.70e+01	-4.372017e-07
-8.60e+01	-4.370806e-07
-8.50e+01	-4.365928e-07
-8.40e+01	-4.369141e-07
-8.30e+01	-4.366827e-07
-8.20e+01	-4.358031e-07
-8.10e+01	-4.356385e-07
-8.00e+01	-4.359153e-07
-7.90e+01	-4.354515e-07
-7.80e+01	-4.349282e-07
-7.70e+01	-4.350164e-07
-7.60e+01	-4.349518e-07
-7.50e+01	-4.345140e-07
-7.40e+01	-4.341722e-07
-7.30e+01	-4.342211e-07
-7.20e+01	-4.338180e-07
-7.10e+01	-4.330239e-07
-7.00e+01	-4.330927e-07
-6.90e+01	-4.329771e-07
-6.80e+01	-4.322125e-07
-6.70e+01	-4.321057e-07
-6.60e+01	-4.320841e-07
-6.50e+01	-4.314876e-07
-6.40e+01	-4.310552e-07
-6.30e+01	-4.310553e-07
-6.20e+01	-4.307151e-07
-6.10e+01	-4.303456e-07
-6.00e+01	-4.301288e-07
-5.90e+01	-4.298556e-07
-5.80e+01	-4.296130e-07
-5.70e+01	-4.290237e-07
-5.60e+01	-4.286052e-07
-5.50e+01	-4.285954e-07
-5.40e+01	-4.283024e-07
-5.30e+01	-4.278450e-07
-5.20e+01	-4.274188e-07
-5.10e+01	-4.271945e-07
-5.00e+01	-4.269851e-07
-4.90e+01	-4.260851e-07
-4.80e+01	-4.261182e-07
-4.70e+01	-4.258646e-07
-4.60e+01	-4.251576e-07
-4.50e+01	-4.248946e-07
-4.40e+01	-4.248811e-07
-4.30e+01	-4.239684e-07
-4.20e+01	-4.237941e-07
-4.10e+01	-4.235945e-07
-4.00e+01	-4.229724e-07
-3.90e+01	-4.223330e-07
-3.80e+01	-4.221011e-07
-3.70e+01	-4.218570e-07
-3.60e+01	-4.211343e-07
-3.50e+01	-4.207277e-07
-3.40e+01	-4.202973e-07
-3.30e+01	-4.198291e-07
-3.20e+01	-4.192081e-07
-3.10e+01	-4.190516e-07
-3.00e+01	-4.183334e-07
-2.90e+01	-4.177573e-07
-2.80e+01	-4.173207e-07
-2.70e+01	-4.169998e-07
-2.60e+01	-4.162260e-07
-2.50e+01	-4.155150e-07
-2.40e+01	-4.152553e-07
-2.30e+01	-4.147744e-07
-2.20e+01	-4.141369e-07
-2.10e+01	-4.136532e-07
-2.00e+01	-4.131163e-07
-1.90e+01	-4.122798e-07
-1.80e+01	-4.117914e-07
-1.70e+01	-4.110582e-07
-1.60e+01	-4.106070e-07
-1.50e+01	-4.102329e-07
-1.40e+01	-4.092921e-07
-1.30e+01	-4.084589e-07
-1.20e+01	-4.077878e-07
-1.10e+01	-4.068989e-07
-1.00e+01	-4.056079e-07
-9.00e+00	-4.051025e-07
-8.00e+00	-4.041418e-07
-7.00e+00	-4.027604e-07
-6.00e+00	-4.013827e-07
-5.00e+00	-3.996692e-07
-4.00e+00	-3.974693e-07
-3.00e+00	-3.950629e-07
-2.00e+00	-3.925099e-07
-9.96e-01	-3.898143e-07
3.75e-03	-3.853860e-07
1.00e+00	-3.760188e-07
2.00e+00	-3.572872e-07
3.00e+00	-3.136434e-07
4.00e+00	-1.959346e-07
5.00e+00	-1.071806e-07
6.00e+00	-9.062428e-08
7.00e+00	-7.927180e-08
8.00e+00	-6.896947e-08
9.00e+00	-5.838346e-08
1.00e+01	-4.719627e-08
1.10e+01	-3.597643e-08
1.20e+01	-2.544234e-08
1.30e+01	-1.663812e-08
1.40e+01	-1.011776e-08
1.50e+01	-5.506377e-09
1.60e+01	-2.142037e-09
1.70e+01	4.043111e-10
1.80e+01	2.097350e-09
1.90e+01	2.934945e-09
2.00e+01	3.280717e-09
2.10e+01	3.483345e-09
2.20e+01	3.689263e-09
2.30e+01	3.903409e-09
2.40e+01	4.100214e-09
2.50e+01	4.311574e-09
2.60e+01	4.506735e-09
2.70e+01	4.710629e-09
2.80e+01	4.913256e-09
2.90e+01	5.132337e-09
3.00e+01	5.338253e-09
3.10e+01	5.535313e-09
3.20e+01	5.758823e-09
3.30e+01	5.938670e-09
3.40e+01	6.135098e-09
3.50e+01	6.298869e-09
3.60e+01	6.488589e-09
3.70e+01	6.734878e-09
3.80e+01	6.846130e-09
3.90e+01	7.331749e-09
4.00e+01	7.192532e-09
