# ---
# 24/02/2026, 11:31:51
# volt	current
# ---
-1.20e+02	-4.056268e-07
-1.19e+02	-3.457112e-07
-1.18e+02	-3.459782e-07
-1.17e+02	-3.463289e-07
-1.16e+02	-3.470740e-07
-1.15e+02	-3.469188e-07
-1.14e+02	-3.469875e-07
-1.13e+02	-3.473927e-07
-1.12e+02	-3.475649e-07
-1.11e+02	-3.473436e-07
-1.10e+02	-3.473967e-07
-1.09e+02	-3.477645e-07
-1.08e+02	-3.473913e-07
-1.07e+02	-3.475881e-07
-1.06e+02	-3.477265e-07
-1.05e+02	-3.478156e-07
-1.04e+02	-3.476597e-07
-1.03e+02	-3.476616e-07
-1.02e+02	-3.478026e-07
-1.01e+02	-3.475014e-07
-1.00e+02	-3.473884e-07
-9.90e+01	-3.474629e-07
-9.80e+01	-3.472708e-07
-9.70e+01	-3.471471e-07
-9.60e+01	-3.471129e-07
-9.50e+01	-3.471248e-07
-9.40e+01	-3.468068e-07
-9.30e+01	-3.469147e-07
-9.20e+01	-3.470118e-07
-9.10e+01	-3.467929e-07
-9.00e+01	-3.463463e-07
-8.90e+01	-3.464160e-07
-8.80e+01	-3.463362e-07
-8.70e+01	-3.461500e-07
-8.60e+01	-3.459536e-07
-8.50e+01	-3.458068e-07
-8.40e+01	-3.458074e-07
-8.30e+01	-3.458353e-07
-8.20e+01	-3.456328e-07
-8.10e+01	-3.456917e-07
-8.00e+01	-3.456557e-07
-7.90e+01	-3.452577e-07
-7.80e+01	-3.451384e-07
-7.70e+01	-3.450129e-07
-7.60e+01	-3.447533e-07
-7.50e+01	-3.444885e-07
-7.40e+01	-3.442776e-07
-7.30e+01	-3.442603e-07
-7.20e+01	-3.440886e-07
-7.10e+01	-3.439738e-07
-7.00e+01	-3.433739e-07
-6.90e+01	-3.432096e-07
-6.80e+01	-3.431356e-07
-6.70e+01	-3.428000e-07
-6.60e+01	-3.426060e-07
-6.50e+01	-3.422484e-07
-6.40e+01	-3.417960e-07
-6.30e+01	-3.417681e-07
-6.20e+01	-3.412513e-07
-6.10e+01	-3.408437e-07
-6.00e+01	-3.405735e-07
-5.90e+01	-3.399373e-07
-5.80e+01	-3.393542e-07
-5.70e+01	-3.388028e-07
-5.60e+01	-3.379527e-07
-5.50e+01	-3.370932e-07
-5.40e+01	-3.365996e-07
-5.30e+01	-3.359074e-07
-5.20e+01	-3.351852e-07
-5.10e+01	-3.342751e-07
-5.00e+01	-3.336802e-07
-4.90e+01	-3.328933e-07
-4.80e+01	-3.323441e-07
-4.70e+01	-3.315204e-07
-4.60e+01	-3.310719e-07
-4.50e+01	-3.304896e-07
-4.40e+01	-3.298055e-07
-4.30e+01	-3.292754e-07
-4.20e+01	-3.289308e-07
-4.10e+01	-3.285107e-07
-4.00e+01	-3.277637e-07
-3.90e+01	-3.272832e-07
-3.80e+01	-3.271671e-07
-3.70e+01	-3.264216e-07
-3.60e+01	-3.257034e-07
-3.50e+01	-3.254826e-07
-3.40e+01	-3.249575e-07
-3.30e+01	-3.243112e-07
-3.20e+01	-3.239864e-07
-3.10e+01	-3.236864e-07
-3.00e+01	-3.229471e-07
-2.90e+01	-3.225512e-07
-2.80e+01	-3.221288e-07
-2.70e+01	-3.215780e-07
-2.60e+01	-3.208833e-07
-2.50e+01	-3.203974e-07
-2.40e+01	-3.200415e-07
-2.30e+01	-3.190696e-07
-2.20e+01	-3.185847e-07
-2.10e+01	-3.181777e-07
-2.00e+01	-3.175051e-07
-1.90e+01	-3.167715e-07
-1.80e+01	-3.164950e-07
-1.70e+01	-3.159163e-07
-1.60e+01	-3.149813e-07
-1.50e+01	-3.144394e-07
-1.40e+01	-3.142557e-07
-1.30e+01	-3.133857e-07
-1.20e+01	-3.126278e-07
-1.10e+01	-3.122732e-07
-1.00e+01	-3.119717e-07
-9.00e+00	-3.108612e-07
-8.00e+00	-3.098258e-07
-7.00e+00	-3.092437e-07
-6.00e+00	-3.083315e-07
-5.00e+00	-3.068498e-07
-4.00e+00	-3.053659e-07
-3.00e+00	-3.033052e-07
-2.00e+00	-3.003888e-07
-9.95e-01	-2.964431e-07
4.02e-03	-2.915762e-07
1.00e+00	-2.791198e-07
2.00e+00	-2.560839e-07
3.00e+00	-2.107627e-07
4.00e+00	-1.064659e-07
5.00e+00	-4.647545e-08
6.00e+00	-3.648060e-08
7.00e+00	-2.926207e-08
8.00e+00	-2.232123e-08
9.00e+00	-1.520599e-08
1.00e+01	-8.174401e-09
1.10e+01	-1.813987e-09
1.20e+01	3.312248e-09
1.30e+01	6.960834e-09
1.40e+01	9.399468e-09
1.50e+01	1.108606e-08
1.60e+01	1.225399e-08
1.70e+01	1.295503e-08
1.80e+01	1.329447e-08
1.90e+01	1.351178e-08
2.00e+01	1.369745e-08
2.10e+01	1.390476e-08
2.20e+01	1.411258e-08
2.30e+01	1.434216e-08
2.40e+01	1.456062e-08
2.50e+01	1.478071e-08
2.60e+01	1.499473e-08
2.70e+01	1.519635e-08
2.80e+01	1.542846e-08
2.90e+01	1.565577e-08
3.00e+01	1.587258e-08
3.10e+01	1.608432e-08
3.20e+01	1.631910e-08
3.30e+01	1.652349e-08
3.40e+01	1.671220e-08
3.50e+01	1.692787e-08
3.60e+01	1.712606e-08
3.70e+01	1.729743e-08
3.80e+01	1.751917e-08
3.90e+01	1.771421e-08
4.00e+01	1.785748e-08
