# ---
# 25/02/2026, 09:15:24
# volt	current
# ---
-1.20e+02	-2.656319e-07
-1.19e+02	-2.058545e-07
-1.18e+02	-2.057215e-07
-1.17e+02	-2.057571e-07
-1.16e+02	-2.057583e-07
-1.15e+02	-2.056589e-07
-1.14e+02	-2.056554e-07
-1.13e+02	-2.055216e-07
-1.12e+02	-2.055022e-07
-1.11e+02	-2.053715e-07
-1.10e+02	-2.054907e-07
-1.09e+02	-2.053535e-07
-1.08e+02	-2.051417e-07
-1.07e+02	-2.052148e-07
-1.06e+02	-2.051079e-07
-1.05e+02	-2.049852e-07
-1.04e+02	-2.049952e-07
-1.03e+02	-2.048727e-07
-1.02e+02	-2.046971e-07
-1.01e+02	-2.046554e-07
-1.00e+02	-2.046452e-07
-9.90e+01	-2.043508e-07
-9.80e+01	-2.043662e-07
-9.70e+01	-2.044803e-07
-9.60e+01	-2.041840e-07
-9.50e+01	-2.041122e-07
-9.40e+01	-2.041695e-07
-9.30e+01	-2.040532e-07
-9.20e+01	-2.038399e-07
-9.10e+01	-2.039148e-07
-9.00e+01	-2.039364e-07
-8.90e+01	-2.037017e-07
-8.80e+01	-2.035854e-07
-8.70e+01	-2.035523e-07
-8.60e+01	-2.034989e-07
-8.50e+01	-2.033194e-07
-8.40e+01	-2.033498e-07
-8.30e+01	-2.032510e-07
-8.20e+01	-2.030827e-07
-8.10e+01	-2.030438e-07
-8.00e+01	-2.030296e-07
-7.90e+01	-2.028535e-07
-7.80e+01	-2.027877e-07
-7.70e+01	-2.027718e-07
-7.60e+01	-2.026002e-07
-7.50e+01	-2.025133e-07
-7.40e+01	-2.024737e-07
-7.30e+01	-2.023609e-07
-7.20e+01	-2.022913e-07
-7.10e+01	-2.021507e-07
-7.00e+01	-2.020938e-07
-6.90e+01	-2.019867e-07
-6.80e+01	-2.017577e-07
-6.70e+01	-2.015826e-07
-6.60e+01	-2.015899e-07
-6.50e+01	-2.014283e-07
-6.40e+01	-2.012226e-07
-6.30e+01	-2.011945e-07
-6.20e+01	-2.010581e-07
-6.10e+01	-2.009053e-07
-6.00e+01	-2.006748e-07
-5.90e+01	-2.006542e-07
-5.80e+01	-2.003764e-07
-5.70e+01	-2.002239e-07
-5.60e+01	-2.001275e-07
-5.50e+01	-2.000126e-07
-5.40e+01	-1.997888e-07
-5.30e+01	-1.997021e-07
-5.20e+01	-1.996169e-07
-5.10e+01	-1.994310e-07
-5.00e+01	-1.991564e-07
-4.90e+01	-1.991219e-07
-4.80e+01	-1.989653e-07
-4.70e+01	-1.986666e-07
-4.60e+01	-1.985439e-07
-4.50e+01	-1.983672e-07
-4.40e+01	-1.981344e-07
-4.30e+01	-1.979204e-07
-4.20e+01	-1.977717e-07
-4.10e+01	-1.974887e-07
-4.00e+01	-1.973157e-07
-3.90e+01	-1.970742e-07
-3.80e+01	-1.968305e-07
-3.70e+01	-1.966658e-07
-3.60e+01	-1.964470e-07
-3.50e+01	-1.961517e-07
-3.40e+01	-1.959622e-07
-3.30e+01	-1.957750e-07
-3.20e+01	-1.954835e-07
-3.10e+01	-1.952186e-07
-3.00e+01	-1.949360e-07
-2.90e+01	-1.945655e-07
-2.80e+01	-1.941924e-07
-2.70e+01	-1.939057e-07
-2.60e+01	-1.934983e-07
-2.50e+01	-1.932331e-07
-2.40e+01	-1.928698e-07
-2.30e+01	-1.924705e-07
-2.20e+01	-1.921138e-07
-2.10e+01	-1.918722e-07
-2.00e+01	-1.913846e-07
-1.90e+01	-1.910377e-07
-1.80e+01	-1.907676e-07
-1.70e+01	-1.903264e-07
-1.60e+01	-1.898842e-07
-1.50e+01	-1.895160e-07
-1.40e+01	-1.891006e-07
-1.30e+01	-1.887094e-07
-1.20e+01	-1.883429e-07
-1.10e+01	-1.878242e-07
-1.00e+01	-1.873564e-07
-9.00e+00	-1.868647e-07
-8.00e+00	-1.863501e-07
-7.00e+00	-1.856274e-07
-6.00e+00	-1.849813e-07
-5.00e+00	-1.843079e-07
-4.00e+00	-1.835254e-07
-3.00e+00	-1.826209e-07
-2.00e+00	-1.813731e-07
-9.95e-01	-1.794236e-07
3.99e-03	-1.764262e-07
1.00e+00	-1.719076e-07
2.00e+00	-1.638313e-07
3.00e+00	-1.472424e-07
4.00e+00	-1.199168e-07
5.00e+00	-8.603837e-08
6.00e+00	-4.697167e-08
7.00e+00	-4.480347e-09
8.00e+00	9.109507e-10
9.00e+00	1.351648e-09
1.00e+01	1.629204e-09
1.10e+01	1.826771e-09
1.20e+01	1.994847e-09
1.30e+01	2.123183e-09
1.40e+01	2.265821e-09
1.50e+01	2.412129e-09
1.60e+01	2.567676e-09
1.70e+01	2.727021e-09
1.80e+01	2.879403e-09
1.90e+01	3.029255e-09
2.00e+01	3.183410e-09
2.10e+01	3.345414e-09
2.20e+01	3.516526e-09
2.30e+01	3.697262e-09
2.40e+01	3.870781e-09
2.50e+01	4.037843e-09
2.60e+01	4.215415e-09
2.70e+01	4.385518e-09
2.80e+01	4.574477e-09
2.90e+01	4.747744e-09
3.00e+01	4.932654e-09
3.10e+01	5.104273e-09
3.20e+01	5.279188e-09
3.30e+01	5.461818e-09
3.40e+01	5.620024e-09
3.50e+01	5.783290e-09
3.60e+01	5.950354e-09
3.70e+01	6.117672e-09
3.80e+01	6.283600e-09
3.90e+01	6.430666e-09
4.00e+01	6.570392e-09
